safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
reckon for	คำนวณ
baptise	พิธีล้างบาปในศาสนาคริสต์
Lamb of God	พระเยซูคริสต์
push upon	ผลัก (สิ่งไปต้องการ) ให้กับ (คำไม่เป็นทางการ)
squeeze up	เขยิบเข้าไปใกล้
flatten in	ดึงเข้ามา
pat on	ตบเบาๆบน (ส่วนของร่างกาย)
foul up	ทำให้ยุ่ง
deliberative	เกี่ยวกับการอภิปราย (ทางการเมือง)
skeptic	ผู้สงสัย
pathogen	เชื้อโรค
cantankerous	ขี้หงุดหงิด (คำไม่เป็นทางการ)
U	พยัญชนะภาษาอังกฤษตัวที่ 21
industrial area	เขตอุตสาหกรรม
degree	องศา (หน่วยวัดอุณหภูมิ) (ทางฟิสิกส์)
plump up	ตบ
worser	เลวกว่า (ขั้นกว่าของคำว่า bad) (คำไม่เป็นทางการ)
sheriff	นายอำเภอ
vitamin C	วิตามินซี ช่วยป้องกันโรคลักปิดลักเปิด
typical	ซึ่งเป็นสัญลักษณ์
multidisciplinary	หลากหลายสาขาวิชา
disperse	ทำให้กระจัดกระจาย
jute	ปอกระเจา
rebus	ปริศนาคำทาย
dan	ระดับของทักษะในวิชาศิลปะป้องกันตัว
swoosh	ทำเสียงหวือผ่านอากาศอย่างรวดเร็ว
vegetarianism	การไม่รับประทานเนื้อสัตว์
Saturdays	ทุกวันเสาร์
Pennsylvania	เพนซิลวาเนีย (ในภาคตะวันออกของอเมริกา)
balm	น้ำมันหอม
maria	บริเวณที่ราบสีดำและกว้างใหญ่บนดวงจันทร์หรือดาวอังคาร
sachem	หัวหน้าเผ่าอินเดียนแดง
jolly boat	เรือเล็กที่อยู่บนกราบเรือใหญ่
demoralization	การทำให้เสื่อมเสียศีลธรรม
scream with	กรีดร้องด้วย (เสียงหัวเราะหรือความเจ็บปวด)
fancy-free	เป็นอิสระ
-ar	เกี่ยวกับ
was	กิริยาเอกพจน์ช่องที่ 2 ของ be
launch against	มุ่งโจมตี
label as	ถูกตราหน้า
defoliant	ยาทำให้ใบไม้ร่วง
fare	เดินทาง
seedling	ต้นอ่อน
bullion	แท่งเงินหรือทองจำนวนมาก
time clock	นาฬิกาบันทึกเวลาทำงาน
officious	เจ้ากี้เจ้าการ
velarization	การออกเสียงโดยเอาด้านหลังของลิ้นแตะเพดานอ่อน
relational	เกี่ยวกับความสัมพันธ์
notability	ความโดดเด่น
oust	ขับไล่
milk of human kindness	ความเมตตาปราณีผู้อื่น
amenable	ที่ตอบสนองต่อ
petrify	ทำให้กลายเป็นหิน
Latin America	ละตินอเมริกา
querist	ผู้ถามคำถาม
bring through2	ช่วยให้พ้นจากอันตรายหรือปัญหา
drop over	มาเยี่ยม (อย่างไม่เป็นทางการ)
remain on the right side of the law	ยังคงประพฤติผิด
baking tray	ที่ใส่ขนมอบลักษณะแบนและทำด้วยโลหะ
restorative	ซึ่งกลับสู่สภาพปกติ
take back	ยอมกลับไปแต่งงาน
protectorate	ดินแดนในอารักขา
stripper	ผู้เต้นระบำเปลื้องผ้า
bear garden	สถานที่มีแต่เสียงอึกทึกครึกโครม
foul out	ทำผิดกติกา
cover-up	การปิดบัง
interview	สัมภาษณ์
bookmark	ที่คั่นหนังสือ
hot water bottle	กระเป๋าน้ำร้อน
embowel	ฝัง
hamburger	ขนมปังยัดใส้เนื้อสัตว์
continued	ต่อเนื่อง
confinement	การจำกัด
alligator	หนังของสัตว์ชนิดหนึ่ง
nouvear riche	ซึ่งอวดร่ำรวย
professionalise	ทำให้เป็นมืออาชีพ
favour with	ทำให้พึงพอใจกับ
lay an ambush	ดักจับ
hear about	รู้
adorable	ที่น่ารัก
inconvertible	ที่ไม่สามารถแลกเปลี่ยนได้
caramelize	เปลี่ยนเป็นคาราเมล
scrub round	ไม่ปฏิบัติตาม
build upon2	ใช้(บางสิ่ง)เป็นพื้นฐานสำหรับพัฒนาต่อ
wardship	การคุ้มกัน
delve into	ค้นหาข้อมูลอย่างละเอียดในเรื่อง
bookbinding	การเย็บเล่มหรือปกหนังสือ
place someone under observation	จับตาดู
syphilitic	เกี่ยวกับโรคซิฟิลิส
amplify	เพิ่มรายละเอียด
not breathe a word (about)	เก็บเป็นความลับ
insusseptible	ซึ่งไม่ถูกชักจูงได้ง่าย
entertain	รับพิจารณา
stable2	นำเข้าคอก
munter	ผู้หญิงที่หน้าตาไม่ดี
press secretary	โฆษกรัฐบาล
plough in	ไถฝังในดิน
psychoanalyse	รักษาด้วยวิธีจิตวิเคราะห์
commence with	เริ่ม (บางสิ่ง) ด้วยบางสิ่ง
extinguished	ดับ (ไฟ, แสง)
wolfram	แร่วุลแฟรม (คำโบราณ)
imagination	จินตนาการ
resources	ทรัพย์สินของบริษัท
zilch	ไม่มีอะไรเลย
present at	จ่อ (อาวุธ) ไปที่
gasp at	อ้าปากค้างกับ
nothing to it	ง่ายดาย
bribe	ติดสินบน
tablet	จารึกลงบนแผ่น (เช่น แผ่นกระดาษ)
high-pressure	ที่ชักชวนหรือกระตุ้นให้ซื้อของโดยใช้กลยุทธ์ที่ก้าวร้าวและไม่ยอมเลิกรา (คำไม่เป็นทางการ)
turn one's coat	เปลี่ยนความคิด
get down	สวด
twit	บ่นว่า
money order	ใบสั่งจ่ายเงิน
Turk	ภาษาตุรกี
rand	ขอบ
reminisce	พูดหรือเขียนถึงอดีต
disdainful	ซึ่งแสดงการดูถูกเหยียดหยาม
southeaster	ลมตะวันออกเฉียงใต้
individual right	สิทธิส่วนตัว
innate	โดยกำเนิด
wool oil	น้ำมันที่อยู่ในขนสัตว์ที่ทำให้ขนสัตว์อ่อนนุ่ม
matters of law	ข้อกฎหมาย
hell-bent	ซึ่งตั้งใจจริงอย่างไม่ยอมลดละ
D	พยัญชนะตัวภาษาอังกฤษที่ 4
tunny	ปลาทูน่า
banjoist	นักเล่นแบนโจ
rugose	ย่น
offbeat	ซึ่งไม่ใช่ธรรมเนียมนิยม
knock on2	เคาะ
tail wagging the dog	ส่วนเล็กๆ ที่ควบคุมทั้งหมดได้
kidney bean	ถั่วชนิดหนึ่งมีขนาดเล็กสีน้ำตาลแดง
riven	ซึ่งฉีกออก
flash around	อวด (ของมีค่า) วูบวาบ
mansard	หลังคาสองชั้น
molasses	น้ำเชื่อมข้นที่เหลือจากการตกผลึกของน้ำตาล
improbable	ไม่น่าจะเป็นไปได้
pull ahead	แซง (การแข่งขัน)
whomsoever	ใครก็ตาม (ทำหน้าที่เป็นกรรมของ whosoever) (คำทางการ)
waterworks	การประปา
saltily	อย่างมีรสเค็ม
run through	ทบทวน
maneuverable	ซึ่งยักย้ายได้
volitionally	อย่างตั้งใจ
clutch something to one's bosom	ยอมรับอย่างกระตือรือร้น
nip something in the bud	เลิก (ตั้งแต่เริ่ม)
devotee	ผู้อุทิศตัว
wraps	เสื้อผ้าชั้นนอก
embankment	เขื่อน
meticulous	พิถีพิถันมาก
antibacterial	ยาหรือสารที่ต้านฤทธิ์ของแบคทีเรีย
Ta	แทนทาลัม (สัญลักษณ์ย่อของ Tantalum)
wolframite	แร่วุลแฟรม
self-expressive	ซึ่งแสดงความรู้สึกนึกคิดตนเองผ่านงานศิลปะ
gratuitously	ซึ่งไม่จำเป็นต้องมี
careless	ไม่ระมัดระวัง
be against	ทำผิดต่อ
tachometer	เครื่องวัดความเร็ว
endorsee	ผู้รับเช็คหรือเอกสารที่มีการเซ็นมอบไว้ให้
overtaken	กริยาช่องที่ 3 ของ overtake
twice-laid	ซึ่งมีเชือกสองเส้นขวั้นเป็นเกลียว
nonreader	ผู้ไม่สามารถอ่านหนังสือออก
deify	ทำให้เป็นพระเจ้าหรือเทวดา
recitation	การท่องจำ
air pocket	หลุมอากาศ
C-note	แบงค์หนึ่งดอลลาร์
anapaest	การออกเสียงในภาษาอังกฤษที่สองพยางค์แรกเน้นเสียงเบาตามด้วยหนึ่งพยางค์ที่เน้นเสียงหนัก
cool down	สนใจน้อยลง
privacy	ความสันโดษ
go away with	ออกจาก (สถานที่หรือเหตุการณ์ด้วยความรู้สึก)
post office	ที่ทำการไปรษณีย์
adapt	เหมาะ
uh	คำอุทานแสดงความลังเล
pressure cooker	หม้อต้มที่ใช้ความอัดดันจากไอน้ำในการทำอาหาร
bring in	นำตัวไปสถานีตำรวจ
blazer	สิ่งที่ลุกโพลง
Bureau of the Crown Property	สำนักงานทรัพย์สินส่วนพระมหากษัตริย์
bondage	ความเป็นทาส
maximizer	ผู้ทำให้สูงสุด
book off	ประท้วงไม่ทำงาน
sophistical	เกี่ยวกับผู้รอบรู้
fly up	บินขึ้นไป
fail in	ขาดแคลน
scurfy	ซึ่งเป็นรังแค
packsack	กระเป๋าสะพายหลัง
stage fright	ความประหม่าเมื่ออยู่บนเวที
file for	เสนอให้อย่างเป็นทางการ (เช่นตำแหน่งทางการเมือง)
lungfish	ปลาที่มีปอดและเหงือกเป็นอวัยะหายใจ
ligature	ผูก
recurve	ย้อนกลับมา
goal kick	ลูกโทษ (กีฬา)
bourse	การซื้อขายหุ้น
stimulus	ยากระตุ้น
puffy	ฟูฟ่อง
misplaced	ซึ่งใส่ผิดที่
overpaid	กริยาช่องที่ 2 และ 3 ของ overpay
put ahead	หมุนเข็มนาฬิกาไปเร็วขึ้น
twitch	การเคลื่อนไหวแบบกระตุกถี่ๆ
harp about	พูดพร่ำเพ้อถึง
hatefully	อย่างเต็มไปด้วยความเกลียด
pick up a cue	พูดบทต่อเนื่องหรือมีจังหวะ
instate	มอบตำแหน่งให้
gynecology	นรีเวชวิทยา
with-	ต้าน
commercialise	ทำเพื่อผลกำไรเป็นหลัก
schematically	เกี่ยวกับแผนผัง
antecedence	เรื่องราวที่ต้องมาก่อน
prosecutor	พนักงานอัยการ
repugnant	น่ารังเกียจ
turn one's face towards	เริ่มเดินทาง
army commander	จอมทัพ
turbidly	อย่างขุ่นมัว
flounce in	โยกตัวเข้ามา
have the Midas touch	มีความสามารถที่ทำสำเร็จ (โดยเฉพาะในการหาเงินได้คล่อง)
pit with	เจาะเป็นรู
grimace	ทำหน้าบูดบึ้ง
live off	หาอาหารหรือรายได้จาก
zymurgy	การหมักสุรา
east-southeast	ไปยังทิศกึ่งกลางระหว่างทิศตะวันออกกับทิศตะวันออกเฉียงใต้
spay	ทำหมันสัตว์ตัวเมีย
rub with	ขัดด้วย
Monophysitic	เกี่ยวกับความเชื่อมั่นว่าพระเจ้ามีลักษณะเดียว
Zurich	เมืองซูริคในประเทศสวิตเซอร์แลนด์
know of	รู้เรื่องของ
learn up	รู้ทะลุปรุโปร่ง
have nothing on	หลีกเลี่ยงบางสิ่งหรือบางคน
sanity	การมีสุขภาพจิตที่ดี
barclays bank	สำเร็จความใคร่ด้วยตัวเอง
detestable	ที่เกลียดชัง
space out	เว้นที่ระหว่างกัน
newsdealer	ตัวแทนจำหน่ายหนังสือพิมพ์หรือนิตยสารต่างๆ
instead	แทน
insomniac	ผู้นอนไม่หลับ
zootomy	กายวิภาคศาสตร์ที่เกี่ยวกับสัตว์
filiform	ซึ่งเป็นเส้นใย
furnished	ซึ่งมีเครื่องเรือนพร้อม
shut	การปิด
cover in1	ปกคลุม
wyes	คำนามพหูพจน์ของ wye
save till / until	เก็บรักษาไว้จนกระทั่ง
whin2	หินสีดำที่มีเนื้อละเอียด
investigator	ผู้สอบสวน
waterless	ซึ่งขาดน้ำ
number off	ขานชื่อ
nos.	คำย่อของ numbers
see ahead	คิด เตรียม หรือวางแผนล่วงหน้า
feel about1	ค้นหา
seriocomic	ทั้งตลกขบขันและจริงจัง
aircraft	สิ่งต่างๆ ที่สร้างสำหรับการบิน
saccharinity	ความหวานเกินไป
steak	เนื้อหรือปลาชิ้นหนา สำหรับทอดหรือย่าง
pacification	กระบวนการสันติภาพ
war zone	บริเวณที่มีการทำสงคราม
lares and penates	เทพเจ้าแห่งบ้าน (ตามความคิดของชาวโรมันโบราณ)
upsweep	กวาดขึ้น
grammar	ไวยากรณ์
crop out	โผล่ออกมาจากผิวดิน
medicine	แพทยศาสตร์
litmus	กระดาษลิตมัส
move along	เดินไป
sprat	ปลาทะเลชนิดหนึ่ง
hydrogen bomb	ระเบิดไฮโดรเจน
queen it over	สั่งการ
put someone out of his / her misery	ทำให้หยุดกังวล
enter the lists	เริ่มเข้ามาร่วมวง
complacent	ที่พึงพอใจ
softie	คนอ่อนแอ
slipshod	สะเพร่า
theme	แนวบทเพลง
us	เรา
reverberate in / through	มีชื่อเสียง
loss leader	สิ่งของที่ขายในราคาขาดทุนเพื่อดึงดูดลูกค้าให้มาที่ร้าน
credential	หนังสือรับรอง
pound down / up	บด (ของแข็ง) จนป่นเป็นผง
surprised	แปลกใจ
wintergreen oil	น้ำมันระกำ
acolyte	ผู้ช่วยพระ
reach into	มีจำนวน
interpretative	เกี่ยวกับการแปลความหมาย
repulsion	แรงผลัก (ทางฟิสิกส์)
teary	เกี่ยวกับน้ำตา
let down	ทำให้ผิดหวัง
consulting	ซึ่งให้คำปรึกษา
designer	นักออกแบบ
skeet	การยิงเป้า
muscatel	เหล้าองุ่นชนิดหนึ่ง
stereophonic	เกี่ยวกับระบบแยกเสียง
transmigration	การกลับชาติมาเกิด
setter	สุนัขพันธุ์ใหญ่สำหรับล่าสัตว์มีหลายพันธุ์ได้แก่ English Setter, Gordon Setter และ IRIS Setter
comprehension	ความเข้าใจ
upholsterer	ช่างใส่เบาะเก้าอี้
ultrapure	บริสุทธิ์มาก
gazette	ราชกิจจานุเบกษา
entertaining	ซึ่งสนุกสนานเพลิดเพลิน
sleep away	หลับไม่ยอมตื่น
copycat	คนชอบเลียนแบบคนอื่น
bent out of shape	โกรธ
chorus	ร้องประสานเสียง
keep something under one's hat	เก็บเป็นความลับ (คำไม่เป็นทางการ)
gambit	การเอ่ยเพื่อเปิดการสนทนา
diode	หลอดอิเล็กตรอน
frisky	มีชีวิตชีวา
tinker	งานบัดกรี
Middle East	ตะวันออกกลาง
least of all	อย่างน้อยที่สุด
thingamabob	สิ่งที่ผู้พูดลืมชื่อ
swop over	เปลี่ยนที่
moon about / around	ดูเหมือนไม่มีความสุข (มักจากเรื่องความรัก) (คำไม่เป็นทางการ)
gnarled	ซึ่งเป็นตะปุ่มตะป่ำ
saliency	ความเด่น
push home	ทำให้รู้สึกถึงผลกระทบ
horde	โขยง
jar against	ทำให้เกิดเสียงแหลมกระทบกับ
ease out	ปลดใบเรือ
spatter over	โปรยบน
take it to the street	เล่าปัญหาให้ทุกคนรู้
mild	(อาหาร, เครื่องดื่ม) ซึ่งมีรสชาติอ่อน
wrought iron	เหล็กบริสุทธิ์ที่ดัดเป็นรูปร่างต่างๆ ได้ง่ายและทนทาน
vitamin G	วิตามินจี
diabolical	เลวร้ายอย่างที่สุด
Goth	ชาวกอธหรือชาวเยอรมันโบราณ
vulvovaginitis	การอักเสบของช่องคลอดและปากช่องคลอด
blotto	เมามาก
dream away	คิดไร้สาระ
permit out	อนุญาตให้ออกไปข้างนอก
circle	เส้นวงกลม
idle	ปล่อยเวลาให้เสียไปโดยเปล่าประโยชน์
enthuse	มีความกระตือรือร้น
republicanize	ทำให้เป็นสาธารณรัฐ
malevolently	อย่างมุ่งร้าย
tailboard	แผ่นไม้ด้านหลังรถบรรทุกสำหรับยกสิ่งของ
fatuitously	อย่างโง่เขลา
pep talk	คำพูดให้กำลังใจ
commonality	คนธรรมดาสามัญ
snowshoe	รองเท้าเดินบนหิมะ (ทำด้วยไม้หรือเหล็ก)
mothball	ลูกเหม็น
pump your nads	สิ่งที่กระตุ้นความรู้สึก (ทางเพศหรืออื่นๆ)
impertinence	ความหยาบคาย
presbyopia	สายตายาว
commutator	กลไกในการสับเปลี่ยนกระแสไฟฟ้า
miscellaneous	เบ็ดเตล็ด
enmity	ความเป็นศัตรู
so far as someone is concerned	เท่าที่ทำได้
excavator	ผู้ขุดค้นโดยเฉพาะเกี่ยวกับวัตถุโบราณ
chop down	ฟันด้วยขวาน
Br.	คำย่อของ British
revolving	ซึ่งหมุนรอบ
off again, on again	ไม่แน่นอน
guardian	ซึ่งคุ้มครอง
dogmatically	อย่างหัวรั้น
true	อย่างซื่อสัตย์
underwrote	กริยาช่องที่ 2 ของ underwrite
cep	เห็ดกินได้ชนิดหนึ่ง
inseminate	ผสมเทียม
hand over	ยื่นให้
put words into someone's mouth	อ้างว่าเป็นคำพูดของ
not have a care in the world	ไม่วิตกกังวลกับสิ่งใด
amour-propre	ความรักตัวเอง (ภาษาฝรั่งเศส)
bumpkin	คนบ้านนอก
chain reaction	ปฏิกิริยาลูกโซ่
southwester	ลมตะวันตกเฉียงใต้
basal	พื้นฐาน
pie2	ส่วนทั้งหมด
look to	เอาใจใส่
lend to	เพิ่มเติม (สิ่งที่ดี) ให้กับ
unharmed	ไม่ได้รับบาดเจ็บ
swoon	การเป็นลม
seize onto	จับ
servile	ซึ่งยอมรับใช้
put one's hands on	หาบางสิ่ง
variegation	การทำให้แตกต่าง
napkin	ผ้าอนามัย
concentrate	สิ่งที่ถูกทำให้มีความเข้มข้นขึ้น
pack animal	สัตว์ซึ่งใช้บรรทุกสินค้า เช่น ม้า
charming	มีเสน่ห์
nip in	เย็บ (เสื้อผ้า) ให้แคบหรือเล็กลง
curdy	น้ำนมที่แข็งตัว
loadstar	ดาวเพื่อนำทาง
perspire	เหงื่อออก
clap into	ถูกจับเข้าคุก (ปกติใช้รูป passive voice) (คำไม่เป็นทางการ)
trite	ซ้ำๆซากๆ
semaphor	ให้สัญญาณธง
recompense for	ชดเชย
album	สมุดเปล่า (สำหรับใส่รูป, แสตมป์หรือสิ่งอื่นๆ)
unzip	ดึงซิปออก
stand corrected	ยอมรับผิด
narcissus	ต้นนาซีซัสมีกลีบดอกด้านนอกสีขาวและตรงกลางสีเหลือง
hatter	คนที่ทำ ขาย และซ่อมแซมหมวก
kinky	ที่เป็นม้วนขด
sweetheart deal	สัญญามิตรภาพ
scaffolding	นั่งร้าน
convoy	ยานพาหนะหรือเรือคุ้มกันการเดินทาง
preen	แต่งตัวให้ดูดี
intercede for	ไกล่เกลี่ยให้กับ
pensile	ที่แขวนอยู่
antwacky	เชย
arm with	เตรียมให้พร้อมด้วย (อาวุธ)
beau monde	สังคมชั้นสูง
winger	นักฟุตบอลหรือนักรักบี้ที่เล่นในตำแหน่งปีก
bowl along	ก้าวหน้า
May day	วันแรงงาน (1พฤษภาคม)
pile out	เบียดกันออก
batten	ใช้ไม้ดาม
meteorology	อุตุนิยมวิทยา
malt	ข้าวมอลต์ (ใช้ในการกลั่นเหล้าหรือเบียร์)
seclude	แยกตัว
planking	แผ่นกระดานสำหรับปูพื้น
paper over	ปกปิด
satiation	ความอิ่มอกอิ่มใจ
sharecropper	ชาวนาที่เช่านาและจ่ายค่าเช่าด้วยผลผลิตที่ปลูกได้
fathomable	ซึ่งวัดได้
allergist	แพทย์ผู้เชี่ยวชาญด้านโรคภูมิแพ้
featly	อย่างชำนาญ (ปัจจุบันไม่ค่อยใช้แล้ว)
revolutionise	ปฏิวัติ
sacrificially	อย่างเสียสละ
municipal	เกี่ยวกับเทศบาล
Burma	สหภาพพม่า
rightly	อย่างถูกต้อง
Neapolitan ice cream	ไอศกรีมที่ทำเป็นหลายชั้นและหลากหลายสี
potboy	พนักงานบริการในโรงแรม
touched (in the head)	บ้า
supplementary	ผู้เสริม
taxonomy	วิทยาศาสตร์หรือเทคนิคเกี่ยวกับการแบ่งประเภท
develop	ให้รายละเอียด
complexity	ความซับซ้อน
embroil in	ทำให้เป็นส่วนหนึ่งของ (สิ่งที่ไม่น่ายินดี)
gm.	กรัม (คำย่อของ gram)
bring up against	ทำให้ประสบกับ (ความยุ่งยาก)
hide one's light under a bushel	ปกปิดความสามารถพิเศษ
vain	ซึ่งไร้ประโยชน์
anniversary	วันครบรอบปี
southmost	ใต้สุด
jest	พูดตลก
get at	ทำให้พัง
wattle	ไม้สานทำเป็นรั้ว ผนังหรือหลังคา
Whitehall	เมืองในตอนกลางของรัฐโอไฮโอในสหรัฐอเมริกา
villa	บ้านพักตากอากาศ
dim down	ทำให้มัวลง
backsaw	เลื่อยขนาดเล็ก
take the wind out of someone's sails	ทำให้รู้สึกอับอาย (คำไม่เป็นทางการ)
watch fire	ไฟที่จุดเป็นสัณญาณ
write on1	เขียนต่อ
intercommunicate	ติดต่อสื่อสารกัน
help oneself	ช่วยเหลือตนเอง
talk big	พูดโม้
combination	สิ่งที่เกิดจากการรวมกัน
top-drawer	ซึ่งเกี่ยวกับชั้นสูงสุด
VHF	คลื่นวิทยุความถี่สูง (คำย่อ very high frequency)
balcony	ที่นั่งชั้นบน
stand a chance	มีโอกาส
intolerable	ซึ่งสุดที่จะทนได้
velour	ผ้าเนื้อหนาคล้ายกำมะหยี่
costal	ที่เกี่ยวกับกระดูกซี่โครง
middle class	ชนชั้นกลาง
camera-shy	ที่ไม่ชอบถูกถ่ายภาพ
varda	มอง
ligament	เอ็น
fete	เทศกาลทางศาสนา
macaroon	ขนมคุกกี้ชนิดหนึ่ง
devoted	ซื่อสัตย์
walloping	ซึ่งมีขนาดใหญ่มาก (คำไม่เป็นทางการ)
packet	ห่อของเล็กๆ
literally	อย่างแท้จริง
hope for	หวังว่า (สิ่งที่ดี) จะเกิด
auditory	เกี่ยวกับการได้ยินเสียง
perforated	ซึ่งทำให้เป็นรู
ring down the curtain (on)	ทำให้เรื่องจบ
sun-cured	ซึ่งตากแดดจนแห้ง
maltose	น้ำตาลมอลโทส
nonuser	ผู้ไม่เสพยา
expatiate	ขยายความโดยการพูดหรือเขียน
bar in	ขังเอาไว้
arrogance	ความเย่อหยิ่ง
dissociation	การแยกออกจากกัน
bluish	ซึ่งเป็นสีน้ำเงิน
orth-	ตรง
fie	คำอุทานแสดงความไม่พอใจ
average	หาค่าเฉลี่ย
Dagwood sandwich	แซนด์วิชชิ้นโตที่มีเนื้อ เนยแข็งและส่วนผสมหลายชนิด
push one's way through	ผลักหรือเบียดผ่าน (ฝูงชน)
emancipate	ปลดปล่อย
Lima	เมืองหลวงของเปรู
while away the time	ใช้เวลาไปโดยเปล่าประโยชน์
Zinc	สังกะสี (สัญลักษณ์ทางเคมีคือ Zn)
delight in	ยินดีเรื่อง
matsah	ขนมปังแผ่นบางชนิดหนึ่ง
quadroon	ลูกผสมระหว่างเชื้อสายนิโกร 25 %ผสมคนขาว 75 %
deerstalker	หมวกที่มีขอบปีกด้านหน้าและหลัง และมีปกหูสองข้าง
pressman	นักข่าว
pus	น้ำหนอง
solute	ตัวถูกละลาย
neighborhood	บริเวณใกล้เคียง
immolate	เผาตัวตายเพื่อประท้วง (คำทางการ)
nexus	หัวใจสำคัญของเรื่อง
motorcycle	ขับรถจักรยานยนต์
major-domo	พ่อบ้านดูแลบ้าน
jimjams	อาการที่เกิดจากการดื่มสุรามากเกินไป (คำสแลง)
reprint	หนังสือที่พิมพ์ซ้ำ
robber	โจร
gamut	ช่วง
apprize	แจ้งข่าว
stumble across	พบโดยบังเอิญ
frizzle up	ทำให้เสียงลั่นดังเปรี๊ยะ
cat-	ลง
protectress	ผู้ปกป้องที่เป็นผู้หญิง
traveller	นักท่องเที่ยว
unfruitful	ซึ่งไม่ได้ผล
stirring	ซึ่งปลุกเร้า
demy	ขนาดกระดาษสำหรับพิมพ์ดีดหรือเขียน
follow about	ตาม (บางคน) ไปทุกที่
matchlessly	อย่างไม่มีใครเทียบ
bejewelled	ประดับด้วยเครื่องเพชรหรือสวมเพชร
-ee	ผู้ถูกกระทำ
peck at	คอยหาข้อผิดหรือบกพร่อง
cup-shaped	ที่มีรูปร่างเป็นถ้วย
enjoin on	สั่ง
read between the lines	ทำความเข้าใจกับความหมายที่แฝงไว้
Moore	ชาวแอฟริกาตะวันตก
tear along	เคลื่อนไปตาม
be on guard	เฝ้าระวัง
amendment	การพัฒนาขึ้น
subsidence	การลดน้อยลง
vitamin B2	วิตามินบีสอง
unvaried	ซึ่งไม่ผันแปร
life-or-death	ที่อาจเป็นหรือตาย
Robin Hood	โรบินฮู้ด (วีรบุรุษในนิทานยุคศตวรรษที่12)
husbandry	การเพาะปลูก
collect from	เรียกคืน (เงินที่เป็นหนี้หรือสัญญา)
hurl about	ทำให้กระเด็นไปคนละทิศ
ravelling	การพันกันยุ่ง
sidesplitting	ตลกมาก
top story	สมอง
make sense of	สามารถเข้าใจ
falling sickness	โรคลมบ้าหมู
nationalize	ทำให้เป็นของรัฐ
invite in	เชิญเข้ามา
stall for	ทำให้ช้าลง
thrust	ผลัก
rennin	เอนไซม์ที่ช่วยให้นมเป็นก้อน
freshen	ทำให้สดชื่น
self-seeker	ผู้แสวงหาผลประโยชน์ส่วนตัว
Mr. President	ท่านประธานาธิบดี
upwards	ทางเหนือขึ้นไป
shelter	ที่กำบัง
Sexagesima	วันอาทิตย์ที่สองของเดือนก่อนเทศกาลถือบวช (Lent)
gym shoe	รองเท้าเล่นกีฬา
sainthood	ความเป็นนักบุญ
varicosity	การพอง
crashed	โดนตรวจค้น
hamper	ทำให้หยุดชะงัก
nosebleed	การมีเลือดออกทางจมูก
apprehensive	สามารถเข้าใจได้เร็ว
working	ซึ่งทำงาน
be flying high	ได้รับตำแหน่งสำคัญ
fenestration	การประกอบหน้าต่างของตึก
tenpin	ตัวตั้งโบว์ลิ่ง (ซึ่งมีทั้งหมด 10 ตัว)
wheedle out	หลอกลวงเพื่อเอา (บางสิ่ง)
anklet	สิ่งที่สวมรอบข้อเท้า
high-handed	ยโสโอหัง
call in1	เชิญมา
listen for	พยายามฟังเสียง
bagasse	กระดาษชานอ้อย
serve	การเสิร์ฟลูก
work-shy	ขี้เกียจทำงาน
know as	เรียกว่า
postmaster general	ผู้อำนวยการของการไปรษณีย์
channel surfing	การเปลี่ยนช่องโทรทัศน์เพื่อหารายการที่น่าสนใจ
showcase	แสดง (สินค้า, มหรสพ)
light-fingered	มือเบา
stay out of	ยังคงอยู่ด้านนอกของ
present tense	กาลปัจจุบัน (ทางไวยากรณ์)
Scandinavia	ดินแดนในยุโรปเหนือ
out from under	เป็นอิสระจาก
uneatable	ซึ่งกินไม่ได้
mark my word(s)	จำสิ่งที่ฉันพูดไว้
isotope	ไอโซโทป
franchise	ใบอนุญาติให้ขายผลิตภัณฑ์ของบริษัท ในนามของบริษัทนั้น
BC	ก่อนคริสต์ศักราช (before Christ)
superfund	งบประมาณใหญ่สำหรับดูแลสิ่งแวดล้อม
yet	ถึงอย่างนั้น
shipman	กะลาสีเรือ
chop up	ตัดหรือหั่นเป็นชิ้นเล็กชิ้นน้อย
loquacity	การพูดมาก
poplar	ต้นไม้ชนิดหนึ่ง
stover	ใบและซังข้าวโพดซึ่งใช้เป็นอาหารสัตว์
edge	ทำให้คม
regulus	ดาวดวงที่สุกสว่างที่สุดของหมู่ดาว Leo
flute	แก้วทรงสูงที่ใช้ในการดื่มแชมเปญ
Machiavelli	รัฐบุรุษของอิตาลีในช่วงปีค.ศ.1469-1527
sware	กริยาช่อง 2 ของ swear
decomposition	การเน่าเปื่อย
wonk	ข้าราชการ
Europe	ยุโรป
asbestos	แร่ใยหิน
cranky	ที่แปลกประหลาด
plebe	นักศึกษาวิชาทหารชั้นปีที่หนึ่ง (ประเทศสหรัฐอเมริกา)
deadliness	ความตาย
cross with	นำไปผสมกับ
pay off	นำเรือที่เสียไปซ่อม
breadline	ระดับรายได้ของคนที่จนมาก
terminal	สถานีปลายทาง
renewable	(พลังงาน) ที่ไม่มีวันหมด
quids in with	เป็นต่อคนอื่น (คำไม่เป็นทางการ)
kid up	หลอกเล่น (คำไม่เป็นทางการ)
heartburn	อาการจุกเสียดท้อง
wamble	วิงเวียน
sightseeing	การเที่ยวชม
avoid	หลีกเลี่ยง
